time_s,pt1_mbar,y,y_error,reynolds,in_laminar_fit
5.099999999999999645e+00,1.934000000000000000e+03,-1.177387622592518834e+00,8.121884245628728516e-03,1.424718775031168434e+02,1.000000000000000000e+00
1.023000000000000043e+01,1.881000000000000000e+03,-1.219240276456724281e+00,8.593519918154445686e-03,1.372190926778087601e+02,1.000000000000000000e+00
1.534999999999999964e+01,1.832000000000000000e+03,-1.261028205031618832e+00,9.084635912330944058e-03,1.323666189083692473e+02,1.000000000000000000e+00
2.044000000000000128e+01,1.783000000000000000e+03,-1.306196827382029690e+00,9.639263624130166297e-03,1.301679212874555560e+02,1.000000000000000000e+00
2.551999999999999957e+01,1.736000000000000000e+03,-1.353142153802989966e+00,1.024315678333359569e-02,1.242928129237514128e+02,1.000000000000000000e+00
3.064999999999999858e+01,1.691000000000000000e+03,-1.401890666858168766e+00,1.090135216454456331e-02,1.198519059174819716e+02,1.000000000000000000e+00
3.575999999999999801e+01,1.647000000000000000e+03,-1.453683383024867437e+00,1.163719424605831609e-02,1.165922858026590490e+02,1.000000000000000000e+00
4.082000000000000028e+01,1.605000000000000000e+03,-1.507507931873063312e+00,1.244397381230074283e-02,1.113237038199793290e+02,1.000000000000000000e+00
4.592000000000000171e+01,1.565000000000000000e+03,-1.563374654181145074e+00,1.332928558845909023e-02,1.054544895747264945e+02,1.000000000000000000e+00
5.102000000000000313e+01,1.527000000000000000e+03,-1.621272370081103364e+00,1.430130569937395658e-02,9.869458639685952051e+01,1.000000000000000000e+00
5.611999999999999744e+01,1.492000000000000000e+03,-1.679425314087560128e+00,1.533681455882699406e-02,9.319812047428553115e+01,1.000000000000000000e+00
6.122999999999999687e+01,1.458000000000000000e+03,-1.741070952603116728e+00,1.650329357021625837e-02,9.040543702063327203e+01,1.000000000000000000e+00
6.634000000000000341e+01,1.425000000000000000e+03,-1.806574555013195749e+00,1.782531237382781533e-02,8.373027832359102263e+01,1.000000000000000000e+00
7.143999999999999773e+01,1.396000000000000000e+03,-1.869531090966211728e+00,1.918133036535821581e-02,7.720957011654012092e+01,1.000000000000000000e+00
7.651999999999999602e+01,1.368000000000000000e+03,-1.935922550426965039e+00,2.070811055933683212e-02,7.451092114651531517e+01,1.000000000000000000e+00
8.162000000000000455e+01,1.341000000000000000e+03,-2.006058995745811924e+00,2.243634145079853592e-02,6.907104113920372868e+01,1.000000000000000000e+00
8.670000000000000284e+01,1.317000000000000000e+03,-2.074326441013065736e+00,2.424034028176732733e-02,6.502306768416690375e+01,1.000000000000000000e+00
9.179999999999999716e+01,1.293000000000000000e+03,-2.149174879694510931e+00,2.636650732323063059e-02,6.208044227938644610e+01,1.000000000000000000e+00
9.692000000000000171e+01,1.271000000000000000e+03,-2.224623551524333553e+00,2.867850341530245664e-02,5.641280643003653950e+01,1.000000000000000000e+00
1.020699999999999932e+02,1.251000000000000000e+03,-2.299950045356040640e+00,3.116895214934281566e-02,5.260938384177718774e+01,1.000000000000000000e+00
1.071400000000000006e+02,1.232000000000000000e+03,-2.378570999971967748e+00,3.397786385863336978e-02,4.917723695113814841e+01,1.000000000000000000e+00
1.121599999999999966e+02,1.215000000000000000e+03,-2.455842516844088941e+00,3.696375991956810797e-02,4.620463391647744800e+01,1.000000000000000000e+00
1.172900000000000063e+02,1.198000000000000000e+03,-2.540926849970913448e+00,4.053133612305014760e-02,4.304717112410419588e+01,1.000000000000000000e+00
1.224099999999999966e+02,1.183000000000000000e+03,-2.623762384579620743e+00,4.431026359190357033e-02,3.793338916728554722e+01,1.000000000000000000e+00
1.274599999999999937e+02,1.170000000000000000e+03,-2.702593161639152086e+00,4.821044849413209932e-02,3.536059403769731802e+01,1.000000000000000000e+00
1.325500000000000114e+02,1.157000000000000000e+03,-2.789240355832223184e+00,5.286875769206673958e-02,3.371518461687235657e+01,1.000000000000000000e+00
1.376899999999999977e+02,1.145000000000000000e+03,-2.877539317826280030e+00,5.805126875253900642e-02,3.090870412898886599e+01,1.000000000000000000e+00
1.428100000000000023e+02,1.134000000000000000e+03,-2.966943445076822172e+00,6.378760641626456118e-02,2.833096835920938972e+01,1.000000000000000000e+00
1.479099999999999966e+02,1.124000000000000000e+03,-3.056706281037521400e+00,7.008799579105212674e-02,2.568763207589515218e+01,1.000000000000000000e+00
1.530099999999999909e+02,1.115000000000000000e+03,-3.145837514535950064e+00,7.693055843389376425e-02,2.438365038156243259e+01,1.000000000000000000e+00
1.580900000000000034e+02,1.106000000000000000e+03,-3.244567057096881424e+00,8.525830486762381311e-02,2.303432589655016116e+01,1.000000000000000000e+00
1.631899999999999977e+02,1.098000000000000000e+03,-3.342154841028372125e+00,9.433982911034574648e-02,1.892772889802768788e+01,1.000000000000000000e+00
1.682899999999999920e+02,1.092000000000000000e+03,-3.422703586883118820e+00,1.025337651559713043e-01,1.761573692286956216e+01,1.000000000000000000e+00
1.733700000000000045e+02,1.085000000000000000e+03,-3.526360524616161563e+00,1.140987995332608390e-01,1.763029482181465113e+01,1.000000000000000000e+00
1.784600000000000080e+02,1.079000000000000000e+03,-3.625292860701747166e+00,1.263138703958254505e-01,1.496184432983514156e+01,1.000000000000000000e+00
1.835000000000000000e+02,1.074000000000000000e+03,-3.716437398177593998e+00,1.386893866043770462e-01,1.356181180165719447e+01,1.000000000000000000e+00
1.886299999999999955e+02,1.069000000000000000e+03,-3.817234428695718496e+00,1.537560221630551727e-01,1.213382352160243904e+01,1.000000000000000000e+00
